round,season,date,home,team,xg,goals,goals_against,xg_against,opponent,attendance,venue,ref
33,1920,2020-06-20,1,Hoffenheim,2.1,4,0,0.4,Union Berlin,0,PreZero Arena,Robert Hartmann
33,1920,2020-06-20,1,Düsseldorf,0.4,1,1,1.5,Augsburg,0,Merkur Spielarena,Daniel Siebert
33,1920,2020-06-20,1,Bayern Munich,2,3,1,1.8,Freiburg,0,Allianz Arena,Sören Storks
33,1920,2020-06-20,1,Köln,1,1,1,1.6,Eint Frankfurt,0,RheinEnergieSTADION,Christian Dingert
34,1920,2020-06-27,1,Union Berlin,1.8,3,0,1,Düsseldorf,0,Stadion An der Alten Försterei,Harm Osmers
34,1920,2020-06-27,1,Freiburg,1.5,4,0,0.8,Schalke 04,0,Schwarzwald-Stadion,Martin Petersen
34,1920,2020-06-27,1,Werder Bremen,3,6,1,0.8,Köln,0,Weserstadion,Bastian Dankert
34,1920,2020-06-27,1,Leverkusen,1.5,1,0,0.4,Mainz 05,0,BayArena,Benjamin Cortus
34,1920,2020-06-27,1,Dortmund,0.2,0,4,3.1,Hoffenheim,0,Signal Iduna Park,Guido Winkmann
34,1920,2020-06-27,1,Eint Frankfurt,2.1,3,2,2.2,Paderborn 07,0,Commerzbank-Arena,Benjamin Brand
34,1920,2020-06-27,1,M'Gladbach,3,2,1,1,Hertha BSC,0,Stadion im Borussia-Park,Deniz Aytekin
34,1920,2020-06-27,1,Augsburg,0.2,1,2,2.2,RB Leipzig,0,WWK Arena,Felix Brych
